63.0,0.0,0.0,0.0,0.0,0.0,4880.0,0.0,24241.07307692308,22470.87999999999
30.0,0.0,0.0,0.0,0.0,0.0,3892.0,0.0,25726.08307692307,24758.56190476192
29.0,1.0,0.0,0.0,0.0,0.0,1705.0,0.0,38190.27551020408,33504.4375
31.0,1.0,0.0,0.0,0.0,0.0,5462.0,0.0,25584.25,24230.15319148935
61.0,0.0,0.0,0.0,0.0,0.0,4783.1,1.0,51420.03888888889,45564.276056338094
23.0,1.0,0.0,0.0,0.0,0.0,3735.0,0.0,24424.50294117647,23248.14999999999
62.0,0.0,0.0,0.0,0.0,0.0,5120.0,0.0,12983.759615384615,11893.43199999999
50.0,0.0,0.0,0.0,0.0,0.0,970.0,0.0,25221.73432835821,25014.101538461553
47.0,1.0,0.0,0.0,0.0,0.0,2277.0,0.0,20933.33125,18704.632258064506
46.0,0.0,0.0,0.0,0.0,0.0,9034.0,0.0,20294.159701492532,19473.82461538461
40.0,1.0,0.0,284280.0,60.0,2.0,4738.0,2.0,41410.68400000001,34637.15102040818
68.0,1.0,0.0,0.0,0.0,0.0,2062.0,0.0,6650.456923076922,5833.989999999996
45.0,1.0,0.0,0.0,0.0,0.0,2619.0,0.0,23048.807812499985,21866.754838709683
52.0,0.0,0.0,0.0,0.0,0.0,1416.0,1.0,23699.24375,21057.406451612893
36.0,1.0,0.0,0.0,0.0,0.0,3475.0,0.0,54304.04705882353,53291.875
58.0,1.0,0.0,0.0,0.0,0.0,465.0,0.0,22673.256097560974,20969.664999999986
32.0,1.0,0.0,0.0,0.0,0.0,2154.0,0.0,26016.755737704923,25070.32666666668
31.0,1.0,0.0,0.0,0.0,0.0,3863.0,0.0,22136.136206896546,21507.110714285704
32.0,0.0,0.0,0.0,0.0,0.0,3294.0,0.0,24692.031746031742,24617.4786885246
49.0,1.0,0.0,0.0,0.0,0.0,2953.0,0.0,26820.84428571428,26147.647058823553
60.0,0.0,0.0,0.0,0.0,0.0,7394.0,0.0,26161.559183673467,25097.102127659564
